"Submit_ID","Brand_Reg","Model_No","Country","screensize","Screen_Tech","Avg_mode_power","Availability Status","Star2","Screen_Size_Inches","Screen_Size_Category_Num"
155201,"CHiQ","L40G7PG","China",100.305,"LCD (LED)",46.8,"Available",5,39.4900785,"40"
155202,"CHiQ","U75F8TG","China",189.306,"LCD (LED)",137.7,"Available",5.5,74.5297722,"75"
155228,"Panasonic","TH-55MX950Z","China",138.818,"LCD (LED)",76.53,"Available",5,54.652646600000004,"55"
155229,"Panasonic","TH-65MX950Z","China",163.853,"LCD (LED)",91.87,"Available",6,64.5089261,"65"
155231,"Panasonic","TH-75MX950Z","China",189.321,"LCD (LED)",107.18,"Available",6,74.5356777,"75"
155258,"KOGAN","KALED43U94VA","China",107.987,"LCD (LED)",51.44,"Available",4.5,42.5144819,"45"
155258,"KOGAN","KALED43U94VB","China",107.987,"LCD (LED)",51.44,"Available",4.5,42.5144819,"45"
155258,"KOGAN","KALED43U94VC","China",107.987,"LCD (LED)",51.44,"Available",4.5,42.5144819,"45"
155258,"KOGAN","KALED43U94V*","China",107.987,"LCD (LED)",51.44,"Available",4.5,42.5144819,"45"
155332,"EKO","K70USW2","China",176.538,"LCD",145.2,"Available",5,69.50301060000001,"70"
155359,"HISENSE","32A4KAU","China",80.04,"LCD (LED)",22.8,"Available",6,31.511748,"30"
155360,"HISENSE","40A4KAU","China",100.332,"LCD (LED)",29.07,"Available",7,39.50070839999999,"40"
155361,"HISENSE","65U8KAU","China",163.896,"LCD (LED)",133.75,"Available",4.5,64.5258552,"65"
155361,"HISENSE","65U8KNZ","China",163.896,"LCD (LED)",133.75,"Available",4.5,64.5258552,"65"
155361,"HISENSE","65U8K series","China",163.896,"LCD (LED)",133.75,"Available",4.5,64.5258552,"65"
155362,"HISENSE","75U8KAU","China",189.34,"LCD (LED)",161.33,"Available",4.5,74.543158,"75"
155362,"HISENSE","75U8KNZ","China",189.34,"LCD (LED)",161.33,"Available",4.5,74.543158,"75"
155362,"HISENSE","75U8K series","China",189.34,"LCD (LED)",161.33,"Available",4.5,74.543158,"75"
155398,"FFALCON","FF32S53","China",79.967,"LCD (LED)",27,"Available",5.5,31.4830079,"30"
155399,"FFALCON","FF40S53","China",100.305,"LCD (LED)",35.6,"Available",5,39.4900785,"40"
155400,"FFALCON","FF50U63","China",125.638,"LCD (LED)",50.3,"Available",6,49.4636806,"50"
155401,"FFALCON","FF55U63","China",138.711,"LCD (LED)",53,"Available",6,54.6105207,"55"
155421,"CHiQ","U43G7PG","China",107.95,"LCD (LED)",52.9,"Available",5,42.499915,"40"
155422,"CHiQ","U50G7PG","China",125.638,"LCD (LED)",69.9,"Available",5,49.4636806,"50"
155423,"CHiQ","U55G7PG","China",138.798,"LCD (LED)",82.3,"Available",5,54.6447726,"55"
155424,"CHiQ","U58G7PG","China",146.039,"LCD (LED)",86.5,"Available",5,57.495554299999995,"55"
155425,"CHiQ","U65G7PG","China",163.829,"LCD (LED)",94,"Available",5.5,64.4994773,"65"
155426,"CHiQ","U65QM8VG","China",163.829,"LCD (LED)",158,"Available",4,64.4994773,"65"
155477,"Kodak","KD65WOS2","China",163.896,"LCD (LED)",95.274,"Available",6,64.5258552,"65"
155480,"PHILIPS","50PUT7428/79","China",125.725,"LCD (LED)",66.6,"Available",5,49.4979325,"50"
155483,"PHILIPS","65PUT7428/79","China",163.878,"LCD (LED)",101.3,"Available",5.5,64.51876859999999,"65"
155515,"KOGAN","KALED60U93NA","China",152.663,"LCD",110.3,"Available",5,60.1034231,"60"
155515,"KOGAN","KALED60U93NB","China",152.663,"LCD",110.3,"Available",5,60.1034231,"60"
155515,"KOGAN","*60*","China",152.663,"LCD",110.3,"Available",5,60.1034231,"60"
155515,"KOGAN","KALED60U93NC","China",152.663,"LCD",110.3,"Available",5,60.1034231,"60"
155515,"KOGAN","KALED60U93ND","China",152.663,"LCD",110.3,"Available",5,60.1034231,"60"
155515,"KOGAN","D60S218-U-T2-W","China",152.663,"LCD",110.3,"Available",5,60.1034231,"60"
155554,"KONKA","KDE40RR314FANT","China",100.332,"LCD (LED)",44.91,"Available",5,39.50070839999999,"40"
155554,"KONKA","KDE40RR315ANT","China",100.332,"LCD (LED)",44.91,"Available",5,39.50070839999999,"40"
155555,"KONKA","UDE55QR314FANT","China",138.783,"LCD (LED)",86.23,"Available",5,54.63886709999999,"55"
155555,"KONKA","UDE55QR315ANT","China",138.783,"LCD (LED)",86.23,"Available",5,54.63886709999999,"55"
155556,"KOGAN","KALED40R93STA","China",100.305,"LCD (LED)",40,"Available",6,39.4900785,"40"
155556,"KOGAN","KALED40R93STB","China",100.305,"LCD (LED)",40,"Available",6,39.4900785,"40"
